tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2009-1536,Madrid Masters,Clay,56,M,20090510,1,103781,,,Jurgen Melzer,L,183.0,AUT,27.9698836413,103656,,,Albert Montanes,R,175.0,ESP,28.4544832307,4-6 7-5 6-3,3,R64,120.0,10.0,4.0,82.0,46.0,38.0,20.0,16.0,1.0,3.0,3.0,3.0,91.0,51.0,35.0,26.0,15.0,3.0,6.0,27.0,1735.0,28.0,1724.0
2009-1536,Madrid Masters,Clay,56,M,20090510,2,104259,,,Philipp Kohlschreiber,R,178.0,GER,25.568788501,104597,,,Nicolas Almagro,R,183.0,ESP,23.7207392197,6-3 6-4,3,R64,92.0,2.0,1.0,63.0,44.0,33.0,12.0,10.0,3.0,3.0,7.0,0.0,69.0,36.0,29.0,13.0,9.0,7.0,9.0,35.0,1510.0,34.0,1515.0
2009-1536,Madrid Masters,Clay,56,M,20090510,3,105227,13.0,,Marin Cilic,R,198.0,CRO,20.6160164271,104719,,,Marcel Granollers,R,190.0,ESP,23.0800821355,6-2 6-7(4) 6-1,3,R64,149.0,3.0,3.0,108.0,57.0,38.0,31.0,14.0,8.0,9.0,0.0,4.0,79.0,45.0,26.0,21.0,13.0,5.0,10.0,14.0,2635.0,90.0,835.0
2009-1536,Madrid Masters,Clay,56,M,20090510,4,103970,12.0,,David Ferrer,R,175.0,ESP,27.1074606434,103084,,Q,Guillermo Canas,R,185.0,ARG,31.4579055441,6-2 6-2,3,R64,84.0,0.0,1.0,41.0,23.0,18.0,13.0,8.0,1.0,2.0,2.0,2.0,66.0,26.0,14.0,18.0,8.0,7.0,12.0,13.0,2645.0,108.0,734.0
2009-1536,Madrid Masters,Clay,56,M,20090510,5,104338,,WC,Juan Monaco,R,185.0,ARG,25.1170431211,103852,,,Feliciano Lopez,L,188.0,ESP,27.6386036961,6-4 7-5,3,R64,130.0,0.0,1.0,74.0,52.0,35.0,15.0,11.0,6.0,6.0,5.0,1.0,93.0,44.0,31.0,25.0,11.0,12.0,14.0,47.0,1240.0,32.0,1620.0
2009-1536,Madrid Masters,Clay,56,M,20090510,6,103507,,WC,Juan Carlos Ferrero,R,183.0,ESP,29.2429842574,103857,,,Igor Kunitsyn,R,180.0,RUS,27.6112251882,6-3 4-6 6-4,3,R64,131.0,1.0,3.0,98.0,63.0,37.0,21.0,15.0,4.0,8.0,1.0,1.0,85.0,61.0,36.0,11.0,14.0,5.0,10.0,115.0,724.0,39.0,1468.0
2009-1536,Madrid Masters,Clay,56,M,20090510,7,103169,,WC,Oscar Hernandez,R,180.0,ESP,31.0855578371,103506,,,Martin Vassallo Arguello,R,183.0,ARG,29.2484599589,6-3 6-3,3,R64,91.0,2.0,1.0,51.0,38.0,30.0,8.0,9.0,1.0,1.0,1.0,0.0,75.0,49.0,31.0,8.0,9.0,7.0,10.0,65.0,1023.0,49.0,1209.0
2009-1536,Madrid Masters,Clay,56,M,20090510,8,104312,,,Andreas Seppi,R,190.0,ITA,25.2183436003,104724,,Q,Eduardo Schwank,R,183.0,ARG,23.0499657769,7-5 6-4,3,R64,107.0,2.0,0.0,80.0,54.0,33.0,16.0,11.0,9.0,11.0,1.0,4.0,59.0,34.0,21.0,15.0,11.0,0.0,4.0,36.0,1490.0,68.0,997.0
2009-1536,Madrid Masters,Clay,56,M,20090510,9,105023,,,Sam Querrey,R,198.0,USA,21.5934291581,103285,15.0,,Radek Stepanek,R,185.0,CZE,30.4531143053,7-6(2) 5-2 RET,3,R64,78.0,10.0,0.0,56.0,33.0,29.0,13.0,9.0,1.0,1.0,4.0,4.0,64.0,37.0,24.0,16.0,10.0,4.0,6.0,60.0,1085.0,19.0,2090.0
2009-1536,Madrid Masters,Clay,56,M,20090510,10,104542,9.0,,Jo-Wilfried Tsonga,R,188.0,FRA,24.0657084189,103498,,,Marat Safin,R,193.0,RUS,29.28678987,6-4 7-5,3,R64,90.0,2.0,2.0,60.0,36.0,30.0,15.0,11.0,1.0,1.0,9.0,0.0,68.0,30.0,25.0,19.0,11.0,4.0,6.0,9.0,3455.0,20.0,2015.0
2009-1536,Madrid Masters,Clay,56,M,20090510,11,103344,,WC,Ivan Ljubicic,R,193.0,CRO,30.1464750171,104559,,Q,Teymuraz Gabashvili,R,188.0,RUS,23.9671457906,6-3 6-2,3,R64,68.0,5.0,0.0,44.0,23.0,22.0,12.0,9.0,0.0,1.0,1.0,4.0,46.0,25.0,14.0,9.0,8.0,2.0,6.0,54.0,1181.0,78.0,936.0
2009-1536,Madrid Masters,Clay,56,M,20090510,12,104926,,Q,Fabio Fognini,R,178.0,ITA,21.9657768652,103908,,,Paul Henri Mathieu,R,185.0,FRA,27.3264887064,6-7(5) 6-4 3-0 RET,3,R64,119.0,7.0,2.0,82.0,53.0,33.0,18.0,13.0,4.0,7.0,8.0,1.0,83.0,42.0,29.0,18.0,12.0,6.0,11.0,72.0,970.0,37.0,1490.0
2009-1536,Madrid Masters,Clay,56,M,20090510,13,104607,,,Tomas Berdych,R,196.0,CZE,23.6468172485,104198,,LL,Guillermo Garcia Lopez,R,188.0,ESP,25.9356605065,6-0 7-6(5),3,R64,109.0,4.0,3.0,73.0,41.0,28.0,17.0,9.0,8.0,10.0,0.0,4.0,68.0,43.0,27.0,6.0,9.0,5.0,10.0,22.0,1935.0,77.0,936.0
2009-1536,Madrid Masters,Clay,56,M,20090510,14,104871,,,Jeremy Chardy,R,188.0,FRA,22.2422997947,104076,,,Jose Acasuso,R,190.0,ARG,26.5571526352,6-3 6-2,3,R64,65.0,6.0,2.0,56.0,29.0,22.0,17.0,9.0,0.0,0.0,0.0,3.0,46.0,26.0,20.0,6.0,8.0,0.0,3.0,40.0,1461.0,44.0,1270.0
2009-1536,Madrid Masters,Clay,56,M,20090510,15,104527,11.0,,Stan Wawrinka,R,183.0,SUI,24.1204654346,104192,,Q,Marco Crugnola,R,188.0,ITA,25.9657768652,6-2 6-0,3,R64,59.0,2.0,2.0,38.0,25.0,18.0,9.0,7.0,4.0,5.0,0.0,5.0,46.0,28.0,13.0,5.0,7.0,4.0,10.0,18.0,2135.0,188.0,400.0
2009-1536,Madrid Masters,Clay,56,M,20090510,16,103990,16.0,,Tommy Robredo,R,180.0,ESP,27.0280629706,103017,,,Nicolas Kiefer,R,183.0,GER,31.8494182067,3-6 6-2 6-2,3,R64,119.0,5.0,2.0,77.0,49.0,33.0,17.0,12.0,5.0,7.0,5.0,6.0,79.0,42.0,30.0,14.0,13.0,1.0,6.0,17.0,2350.0,29.0,1690.0
2009-1536,Madrid Masters,Clay,56,M,20090510,17,103888,,,Mardy Fish,R,188.0,USA,27.4195756331,104386,,,Janko Tipsarevic,R,180.0,SRB,24.8843258042,7-6(3) 6-4,3,R64,125.0,10.0,1.0,67.0,39.0,29.0,19.0,11.0,1.0,2.0,7.0,2.0,72.0,43.0,28.0,17.0,11.0,3.0,5.0,26.0,1760.0,62.0,1075.0
2009-1536,Madrid Masters,Clay,56,M,20090510,18,104620,,,Simone Bolelli,R,183.0,ITA,23.5893223819,103428,,Q,Juan Ignacio Chela,R,190.0,ARG,29.697467488,7-5 7-6(3),3,R64,117.0,4.0,1.0,76.0,43.0,33.0,23.0,12.0,3.0,3.0,1.0,2.0,73.0,43.0,31.0,19.0,12.0,3.0,4.0,61.0,1076.0,197.0,385.0
2009-1536,Madrid Masters,Clay,56,M,20090510,19,103163,,Q,Tommy Haas,R,188.0,GER,31.1047227926,105208,,,Ernests Gulbis,R,190.0,LAT,20.6954140999,6-2 5-7 7-5,3,R64,138.0,7.0,6.0,92.0,52.0,37.0,19.0,16.0,1.0,5.0,6.0,2.0,112.0,65.0,42.0,18.0,16.0,10.0,16.0,75.0,945.0,42.0,1370.0
2009-1536,Madrid Masters,Clay,56,M,20090510,20,103722,,,Florent Serra,R,180.0,FRA,28.1971252567,102783,,,Rainer Schuettler,R,180.0,GER,33.0431211499,6-2 6-4,3,R64,64.0,2.0,2.0,57.0,41.0,32.0,8.0,9.0,3.0,3.0,1.0,3.0,53.0,31.0,18.0,12.0,9.0,0.0,3.0,51.0,1196.0,31.0,1635.0
2009-1536,Madrid Masters,Clay,56,M,20090510,21,103786,10.0,,Nikolay Davydenko,R,178.0,RUS,27.9397672827,104678,,,Viktor Troicki,R,193.0,SRB,23.2470910335,6-2 6-2,3,R64,79.0,2.0,2.0,61.0,48.0,32.0,6.0,8.0,4.0,5.0,5.0,1.0,50.0,22.0,13.0,10.0,8.0,2.0,7.0,11.0,3265.0,41.0,1457.0
