tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2014-339,Brisbane,Hard,28,A,20131229,1,103813,,,Jarkko Nieminen,L,185.0,FIN,32.4380561259,105902,,WC,James Duckworth,R,183.0,AUS,21.9411362081,6-2 6-3,3,R32,72.0,5.0,3.0,71.0,54.0,36.0,9.0,9.0,5.0,5.0,9.0,7.0,51.0,29.0,23.0,6.0,8.0,2.0,5.0,39.0,1090.0,136.0,425.0
2014-339,Brisbane,Hard,28,A,20131229,2,104594,,,Marinko Matosevic,R,194.0,AUS,28.3942505133,103898,,,Julien Benneteau,R,185.0,FRA,32.0273785079,5-7 6-4 7-6(4),3,R32,161.0,11.0,3.0,112.0,68.0,43.0,26.0,17.0,5.0,9.0,14.0,1.0,117.0,76.0,51.0,18.0,17.0,7.0,11.0,61.0,774.0,35.0,1160.0
2014-339,Brisbane,Hard,28,A,20131229,3,105023,,,Sam Querrey,R,198.0,USA,26.2313483915,104098,7.0,,Dmitry Tursunov,R,185.0,RUS,31.0499657769,7-5 6-4,3,R32,77.0,18.0,1.0,58.0,40.0,36.0,7.0,11.0,2.0,3.0,4.0,0.0,63.0,40.0,26.0,12.0,11.0,6.0,9.0,46.0,960.0,29.0,1244.0
2014-339,Brisbane,Hard,28,A,20131229,4,105032,,WC,Sam Groth,R,193.0,AUS,26.1984941821,105992,,Q,Ryan Harrison,R,183.0,USA,21.6481861739,7-6(3) 7-6(2),3,R32,95.0,23.0,2.0,70.0,51.0,46.0,10.0,12.0,1.0,1.0,5.0,4.0,86.0,59.0,43.0,15.0,12.0,4.0,4.0,172.0,307.0,100.0,549.0
2014-339,Brisbane,Hard,28,A,20131229,5,103917,,,Nicolas Mahut,R,190.0,FRA,31.9397672827,104997,,,Igor Sijsling,R,190.0,NED,26.3682409309,3-6 6-4 6-4,3,R32,107.0,15.0,4.0,100.0,59.0,46.0,18.0,15.0,4.0,6.0,13.0,2.0,78.0,50.0,43.0,12.0,14.0,2.0,4.0,50.0,918.0,70.0,697.0
2014-339,Brisbane,Hard,28,A,20131229,6,104871,8.0,,Jeremy Chardy,R,188.0,FRA,26.8802190281,105173,,,Adrian Mannarino,L,183.0,FRA,25.5030800821,7-6(4) 7-5,3,R32,109.0,10.0,2.0,76.0,50.0,34.0,15.0,12.0,4.0,7.0,4.0,3.0,88.0,54.0,31.0,17.0,12.0,5.0,9.0,34.0,1175.0,59.0,784.0
2014-339,Brisbane,Hard,28,A,20131229,7,103852,6.0,,Feliciano Lopez,L,188.0,ESP,32.2765229295,105062,,,Mikhail Kukushkin,R,183.0,KAZ,26.0123203285,6-4 6-4,3,R32,75.0,13.0,3.0,55.0,30.0,24.0,14.0,10.0,1.0,3.0,4.0,2.0,58.0,28.0,12.0,19.0,10.0,2.0,6.0,28.0,1310.0,67.0,721.0
2014-339,Brisbane,Hard,28,A,20131229,8,103720,,,Lleyton Hewitt,R,180.0,AUS,32.8459958932,106423,,Q,Thanasi Kokkinakis,R,196.0,AUS,17.7221081451,6-3 7-5,3,R32,101.0,4.0,1.0,62.0,32.0,27.0,16.0,10.0,3.0,4.0,8.0,5.0,76.0,45.0,29.0,15.0,11.0,11.0,15.0,60.0,780.0,628.0,41.0
2014-339,Brisbane,Hard,28,A,20131229,9,105657,,Q,Marius Copil,R,193.0,ROU,23.2032854209,105216,,Q,Yuichi Sugita,R,173.0,JPN,25.2813141684,7-6(5) 6-7(2) 7-6(7),3,R32,174.0,31.0,2.0,128.0,75.0,66.0,27.0,18.0,2.0,2.0,4.0,1.0,126.0,90.0,71.0,22.0,18.0,8.0,8.0,147.0,369.0,170.0,310.0
2014-339,Brisbane,Hard,28,A,20131229,10,105777,5.0,,Grigor Dimitrov,R,188.0,BUL,22.6255989049,104898,,,Robin Haase,R,190.0,NED,26.7351129363,6-2 6-3,3,R32,58.0,6.0,1.0,43.0,23.0,21.0,15.0,9.0,0.0,0.0,2.0,1.0,56.0,39.0,24.0,8.0,8.0,5.0,8.0,23.0,1520.0,43.0,977.0
2014-339,Brisbane,Hard,28,A,20131229,11,105227,,,Marin Cilic,R,198.0,CRO,25.2539356605,104797,,,Denis Istomin,R,188.0,UZB,27.3127994524,6-7(3) 7-6(5) 6-4,3,R32,142.0,14.0,7.0,111.0,59.0,51.0,27.0,17.0,2.0,2.0,8.0,2.0,100.0,56.0,45.0,29.0,17.0,2.0,3.0,37.0,1130.0,45.0,965.0
2014-339,Brisbane,Hard,28,A,20131229,12,105051,,,Matthew Ebden,R,188.0,AUS,26.0944558522,104864,,LL,Alex Kuznetsov,R,183.0,USA,26.8993839836,6-3 6-4,3,R32,73.0,5.0,7.0,61.0,40.0,32.0,6.0,10.0,1.0,3.0,4.0,1.0,56.0,43.0,24.0,7.0,9.0,6.0,10.0,68.0,706.0,142.0,397.0
2014-339,Brisbane,Hard,28,A,20131229,13,103819,1.0,,Roger Federer,R,185.0,SUI,32.3942505133,103813,,,Jarkko Nieminen,L,185.0,FIN,32.4380561259,6-4 6-2,3,R16,68.0,9.0,0.0,56.0,34.0,27.0,14.0,9.0,4.0,4.0,1.0,4.0,63.0,35.0,21.0,14.0,9.0,1.0,4.0,6.0,4205.0,39.0,1090.0
2014-339,Brisbane,Hard,28,A,20131229,14,104594,,,Marinko Matosevic,R,194.0,AUS,28.3942505133,105023,,,Sam Querrey,R,198.0,USA,26.2313483915,5-7 7-6(3) 6-4,3,R16,139.0,4.0,3.0,112.0,64.0,46.0,26.0,17.0,9.0,12.0,19.0,2.0,101.0,59.0,45.0,23.0,17.0,3.0,6.0,61.0,774.0,46.0,960.0
2014-339,Brisbane,Hard,28,A,20131229,15,105032,,WC,Sam Groth,R,193.0,AUS,26.1984941821,105732,,LL,Pierre Hugues Herbert,R,188.0,FRA,22.7871321013,4-6 7-6(3) 7-6(5),3,R16,146.0,18.0,7.0,113.0,62.0,49.0,27.0,17.0,5.0,8.0,8.0,6.0,110.0,68.0,51.0,22.0,17.0,3.0,5.0,172.0,307.0,151.0,344.0
2014-339,Brisbane,Hard,28,A,20131229,16,104871,8.0,,Jeremy Chardy,R,188.0,FRA,26.8802190281,103917,,,Nicolas Mahut,R,190.0,FRA,31.9397672827,7-5 6-7(4) 6-3,3,R16,122.0,10.0,3.0,85.0,45.0,39.0,26.0,17.0,1.0,3.0,12.0,6.0,102.0,53.0,39.0,23.0,16.0,4.0,8.0,34.0,1175.0,50.0,918.0
2014-339,Brisbane,Hard,28,A,20131229,17,103720,,,Lleyton Hewitt,R,180.0,AUS,32.8459958932,103852,6.0,,Feliciano Lopez,L,188.0,ESP,32.2765229295,7-5 6-3,3,R16,99.0,11.0,2.0,80.0,43.0,33.0,20.0,11.0,9.0,10.0,8.0,8.0,62.0,36.0,29.0,9.0,10.0,3.0,6.0,60.0,780.0,28.0,1310.0
2014-339,Brisbane,Hard,28,A,20131229,18,105657,,Q,Marius Copil,R,193.0,ROU,23.2032854209,104468,3.0,,Gilles Simon,R,183.0,FRA,29.0075290897,7-5 6-3,3,R16,88.0,10.0,0.0,66.0,38.0,33.0,16.0,11.0,4.0,4.0,2.0,2.0,74.0,32.0,23.0,22.0,10.0,4.0,6.0,147.0,369.0,19.0,1790.0
2014-339,Brisbane,Hard,28,A,20131229,19,105227,,,Marin Cilic,R,198.0,CRO,25.2539356605,105777,5.0,,Grigor Dimitrov,R,188.0,BUL,22.6255989049,7-5 7-5,3,R16,96.0,16.0,4.0,77.0,47.0,40.0,16.0,12.0,5.0,5.0,8.0,1.0,72.0,42.0,32.0,16.0,12.0,4.0,6.0,37.0,1130.0,23.0,1520.0
2014-339,Brisbane,Hard,28,A,20131229,20,105453,2.0,,Kei Nishikori,R,178.0,JPN,24.0027378508,105051,,,Matthew Ebden,R,188.0,AUS,26.0944558522,6-2 6-4,3,R16,62.0,1.0,1.0,48.0,27.0,22.0,15.0,9.0,0.0,0.0,3.0,2.0,47.0,26.0,19.0,10.0,9.0,3.0,6.0,17.0,1915.0,68.0,706.0
2014-339,Brisbane,Hard,28,A,20131229,21,103819,1.0,,Roger Federer,R,185.0,SUI,32.3942505133,104594,,,Marinko Matosevic,R,194.0,AUS,28.3942505133,6-1 6-1,3,QF,58.0,9.0,1.0,41.0,25.0,21.0,9.0,7.0,3.0,3.0,3.0,5.0,54.0,30.0,16.0,7.0,7.0,4.0,9.0,6.0,4205.0,61.0,774.0
2014-339,Brisbane,Hard,28,A,20131229,22,104871,8.0,,Jeremy Chardy,R,188.0,FRA,26.8802190281,105032,,WC,Sam Groth,R,193.0,AUS,26.1984941821,7-5 6-4,3,QF,69.0,7.0,0.0,52.0,40.0,34.0,11.0,11.0,2.0,2.0,12.0,1.0,60.0,41.0,32.0,11.0,11.0,3.0,5.0,34.0,1175.0,172.0,307.0
2014-339,Brisbane,Hard,28,A,20131229,23,103720,,,Lleyton Hewitt,R,180.0,AUS,32.8459958932,105657,,Q,Marius Copil,R,193.0,ROU,23.2032854209,6-4 6-2,3,QF,72.0,5.0,1.0,48.0,25.0,21.0,15.0,9.0,2.0,3.0,7.0,3.0,59.0,30.0,22.0,9.0,9.0,1.0,5.0,60.0,780.0,147.0,369.0
2014-339,Brisbane,Hard,28,A,20131229,24,105453,2.0,,Kei Nishikori,R,178.0,JPN,24.0027378508,105227,,,Marin Cilic,R,198.0,CRO,25.2539356605,6-4 5-7 6-2,3,QF,157.0,6.0,2.0,105.0,58.0,45.0,26.0,15.0,14.0,15.0,14.0,11.0,119.0,52.0,38.0,33.0,15.0,12.0,15.0,17.0,1915.0,37.0,1130.0
2014-339,Brisbane,Hard,28,A,20131229,25,103819,1.0,,Roger Federer,R,185.0,SUI,32.3942505133,104871,8.0,,Jeremy Chardy,R,188.0,FRA,26.8802190281,6-3 6-7(3) 6-3,3,SF,116.0,20.0,3.0,95.0,56.0,46.0,23.0,16.0,1.0,1.0,4.0,7.0,86.0,43.0,36.0,21.0,14.0,1.0,3.0,6.0,4205.0,34.0,1175.0
2014-339,Brisbane,Hard,28,A,20131229,26,103720,,,Lleyton Hewitt,R,180.0,AUS,32.8459958932,105453,2.0,,Kei Nishikori,R,178.0,JPN,24.0027378508,5-7 6-4 6-3,3,SF,150.0,7.0,3.0,102.0,45.0,40.0,30.0,16.0,6.0,7.0,12.0,6.0,101.0,61.0,44.0,20.0,15.0,10.0,12.0,60.0,780.0,17.0,1915.0
2014-339,Brisbane,Hard,28,A,20131229,27,103720,,,Lleyton Hewitt,R,180.0,AUS,32.8459958932,103819,1.0,,Roger Federer,R,185.0,SUI,32.3942505133,6-1 4-6 6-3,3,F,127.0,4.0,4.0,101.0,50.0,40.0,26.0,13.0,9.0,10.0,13.0,0.0,86.0,55.0,38.0,14.0,13.0,7.0,11.0,60.0,780.0,6.0,4205.0
2014-891,Chennai,Hard,28,A,20131230,1,103794,,,Benjamin Becker,R,178.0,GER,32.5393566051,104714,,,Julian Reister,R,188.0,GER,27.7453798768,6-4 2-1 RET,3,R32,50.0,4.0,2.0,29.0,17.0,13.0,8.0,6.0,0.0,1.0,1.0,2.0,46.0,28.0,15.0,9.0,7.0,2.0,5.0,79.0,637.0,86.0,612.0
2014-891,Chennai,Hard,28,A,20131230,2,105379,,,Aljaz Bedene,R,181.0,SLO,24.4517453799,105967,,Q,Henri Laaksonen,R,185.0,SUI,21.749486653,6-3 5-7 7-6(0),3,R32,149.0,8.0,3.0,111.0,66.0,50.0,27.0,17.0,6.0,7.0,4.0,8.0,107.0,60.0,48.0,20.0,16.0,5.0,6.0,95.0,573.0,244.0,191.0
2014-891,Chennai,Hard,28,A,20131230,3,104628,,Q,Alexander Kudryavtsev,R,183.0,RUS,28.1779603012,105138,8.0,,Roberto Bautista Agut,R,183.0,ESP,25.711156742,6-4 3-6 6-3,3,R32,107.0,0.0,1.0,84.0,49.0,35.0,21.0,14.0,2.0,4.0,1.0,1.0,86.0,53.0,41.0,13.0,14.0,4.0,7.0,270.0,170.0,58.0,810.0
2014-891,Chennai,Hard,28,A,20131230,4,106026,,WC,Yuki Bhambri,R,183.0,IND,21.4893908282,105807,,,Pablo Carreno Busta,R,188.0,ESP,22.46954141,6-4 6-3,3,R32,76.0,2.0,2.0,46.0,23.0,18.0,15.0,9.0,0.0,1.0,3.0,3.0,61.0,35.0,25.0,10.0,10.0,0.0,4.0,195.0,258.0,64.0,739.0
