tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2015-339,Brisbane,Hard,28,A,20150104,1,105357,,WC,John Millman,R,183.0,AUS,25.5605749487,105733,,Q,Rhyne Williams,R,,USA,23.7919233402,6-3 6-1,3,R32,65.0,6.0,2.0,44.0,24.0,19.0,14.0,8.0,1.0,1.0,3.0,4.0,50.0,31.0,20.0,5.0,8.0,1.0,5.0,153.0,328.0,220.0,221.0
2015-339,Brisbane,Hard,28,A,20150104,2,103813,,,Jarkko Nieminen,L,185.0,FIN,33.453798768,106045,,Q,Denis Kudla,R,180.0,USA,22.3846680356,4-6 6-1 6-4,3,R32,104.0,4.0,0.0,92.0,59.0,39.0,17.0,14.0,4.0,7.0,6.0,1.0,83.0,50.0,26.0,19.0,13.0,3.0,8.0,73.0,689.0,123.0,440.0
2015-339,Brisbane,Hard,28,A,20150104,3,105902,,WC,James Duckworth,R,183.0,AUS,22.9568788501,104468,6.0,,Gilles Simon,R,183.0,FRA,30.0232717317,6-2 6-2,3,R32,68.0,4.0,0.0,45.0,27.0,20.0,11.0,8.0,2.0,3.0,2.0,1.0,56.0,37.0,22.0,5.0,8.0,10.0,15.0,125.0,430.0,21.0,1730.0
2015-339,Brisbane,Hard,28,A,20150104,4,104871,,,Jeremy Chardy,R,188.0,FRA,27.8959616701,104979,,,Andrey Golubev,R,185.0,KAZ,27.4579055441,6-4 6-4,3,R32,69.0,7.0,1.0,53.0,39.0,31.0,11.0,10.0,0.0,0.0,9.0,2.0,57.0,38.0,30.0,8.0,10.0,1.0,3.0,31.0,1195.0,72.0,691.0
2015-339,Brisbane,Hard,28,A,20150104,5,105373,,,Martin Klizan,L,190.0,SVK,25.4866529774,103781,,,Jurgen Melzer,L,183.0,AUT,33.6235455168,6-7(5) 7-6(6) 6-1,3,R32,144.0,9.0,4.0,130.0,79.0,55.0,27.0,16.0,6.0,8.0,4.0,4.0,95.0,62.0,40.0,19.0,15.0,4.0,8.0,34.0,1094.0,110.0,505.0
2015-339,Brisbane,Hard,28,A,20150104,6,105238,7.0,,Alexandr Dolgopolov,R,180.0,UKR,26.160164271,104122,,,Carlos Berlocq,R,183.0,ARG,31.9206023272,6-2 6-3,3,R32,78.0,6.0,1.0,49.0,31.0,24.0,12.0,9.0,3.0,4.0,3.0,2.0,78.0,53.0,32.0,8.0,8.0,11.0,15.0,23.0,1455.0,71.0,700.0
2015-339,Brisbane,Hard,28,A,20150104,7,103997,,Q,Lukasz Kubot,R,190.0,POL,32.6406570842,104731,5.0,,Kevin Anderson,R,203.0,RSA,28.6351813826,7-6(3) 6-4,3,R32,110.0,6.0,5.0,78.0,51.0,35.0,14.0,11.0,3.0,5.0,12.0,3.0,76.0,43.0,30.0,17.0,11.0,4.0,7.0,177.0,282.0,16.0,2080.0
2015-339,Brisbane,Hard,28,A,20150104,8,105032,,,Sam Groth,R,193.0,AUS,27.2142368241,103720,,,Lleyton Hewitt,R,180.0,AUS,33.8617385352,6-3 6-2,3,R32,59.0,14.0,0.0,47.0,34.0,30.0,8.0,9.0,2.0,2.0,1.0,2.0,45.0,22.0,13.0,14.0,8.0,1.0,4.0,85.0,586.0,84.0,595.0
2015-339,Brisbane,Hard,28,A,20150104,9,105062,,,Mikhail Kukushkin,R,183.0,KAZ,27.0280629706,105657,,Q,Marius Copil,R,193.0,ROU,24.219028063,6-4 4-6 6-4,3,R32,113.0,3.0,1.0,84.0,56.0,42.0,16.0,15.0,1.0,3.0,17.0,2.0,89.0,56.0,46.0,15.0,15.0,3.0,6.0,69.0,705.0,201.0,242.0
2015-339,Brisbane,Hard,28,A,20150104,10,106423,,WC,Thanasi Kokkinakis,R,196.0,AUS,18.7378507871,103898,8.0,,Julien Benneteau,R,185.0,FRA,33.0431211499,6-4 6-3,3,R32,75.0,9.0,1.0,52.0,30.0,25.0,14.0,10.0,1.0,2.0,5.0,3.0,52.0,33.0,23.0,7.0,9.0,1.0,4.0,149.0,341.0,25.0,1365.0
2015-339,Brisbane,Hard,28,A,20150104,11,106071,,,Bernard Tomic,R,193.0,AUS,22.2067077344,105023,,,Sam Querrey,R,198.0,USA,27.2470910335,7-5 7-6(5),3,R32,83.0,5.0,0.0,77.0,46.0,36.0,21.0,12.0,4.0,5.0,20.0,3.0,70.0,42.0,35.0,14.0,12.0,4.0,6.0,53.0,797.0,35.0,1090.0
2015-339,Brisbane,Hard,28,A,20150104,12,105449,,,Steve Johnson,R,188.0,USA,25.0321697467,104594,,,Marinko Matosevic,R,194.0,AUS,29.4099931554,2-6 7-6(0) 7-5,3,R32,136.0,14.0,3.0,95.0,58.0,45.0,24.0,16.0,4.0,6.0,10.0,5.0,106.0,68.0,51.0,19.0,16.0,3.0,4.0,37.0,999.0,77.0,657.0
2015-339,Brisbane,Hard,28,A,20150104,13,103819,1.0,,Roger Federer,R,185.0,SUI,33.4099931554,105357,,WC,John Millman,R,183.0,AUS,25.5605749487,4-6 6-4 6-3,3,R16,122.0,8.0,3.0,85.0,50.0,37.0,19.0,14.0,9.0,11.0,2.0,2.0,112.0,72.0,44.0,20.0,15.0,9.0,13.0,2.0,9625.0,153.0,328.0
2015-339,Brisbane,Hard,28,A,20150104,14,105902,,WC,James Duckworth,R,183.0,AUS,22.9568788501,103813,,,Jarkko Nieminen,L,185.0,FIN,33.453798768,4-6 7-6(5) 6-3,3,R16,123.0,16.0,3.0,114.0,66.0,51.0,24.0,16.0,7.0,9.0,5.0,0.0,92.0,60.0,45.0,19.0,15.0,4.0,6.0,125.0,430.0,73.0,689.0
2015-339,Brisbane,Hard,28,A,20150104,15,105777,4.0,,Grigor Dimitrov,R,188.0,BUL,23.6413415469,104871,,,Jeremy Chardy,R,188.0,FRA,27.8959616701,3-6 6-4 7-6(8),3,R16,148.0,10.0,3.0,107.0,64.0,46.0,23.0,16.0,5.0,7.0,9.0,6.0,126.0,78.0,60.0,20.0,15.0,12.0,13.0,11.0,3645.0,31.0,1195.0
2015-339,Brisbane,Hard,28,A,20150104,16,105373,,,Martin Klizan,L,190.0,SVK,25.4866529774,105238,7.0,,Alexandr Dolgopolov,R,180.0,UKR,26.160164271,1-6 7-6(6) 7-6(7),3,R16,147.0,4.0,5.0,116.0,73.0,46.0,18.0,15.0,5.0,10.0,16.0,2.0,103.0,68.0,51.0,19.0,16.0,1.0,4.0,34.0,1094.0,23.0,1455.0
2015-339,Brisbane,Hard,28,A,20150104,17,105032,,,Sam Groth,R,193.0,AUS,27.2142368241,103997,,Q,Lukasz Kubot,R,190.0,POL,32.6406570842,6-4 6-7(2) 7-6(3),3,R16,148.0,21.0,2.0,111.0,80.0,62.0,19.0,17.0,2.0,2.0,14.0,5.0,112.0,75.0,58.0,22.0,17.0,6.0,7.0,85.0,586.0,177.0,282.0
2015-339,Brisbane,Hard,28,A,20150104,18,105683,3.0,,Milos Raonic,R,196.0,CAN,24.0246406571,105062,,,Mikhail Kukushkin,R,183.0,KAZ,27.0280629706,6-3 6-4,3,R16,61.0,17.0,4.0,48.0,31.0,28.0,12.0,10.0,0.0,0.0,1.0,1.0,54.0,32.0,22.0,12.0,9.0,2.0,4.0,8.0,4440.0,69.0,705.0
2015-339,Brisbane,Hard,28,A,20150104,19,106071,,,Bernard Tomic,R,193.0,AUS,22.2067077344,106423,,WC,Thanasi Kokkinakis,R,196.0,AUS,18.7378507871,7-6(2) 6-1,3,R16,79.0,8.0,1.0,72.0,51.0,38.0,12.0,10.0,0.0,0.0,7.0,3.0,61.0,32.0,23.0,14.0,9.0,3.0,5.0,53.0,797.0,149.0,341.0
2015-339,Brisbane,Hard,28,A,20150104,20,105453,2.0,,Kei Nishikori,R,178.0,JPN,25.0184804928,105449,,,Steve Johnson,R,188.0,USA,25.0321697467,6-4 7-5,3,R16,81.0,7.0,1.0,67.0,45.0,34.0,16.0,11.0,2.0,2.0,6.0,1.0,61.0,33.0,24.0,17.0,11.0,1.0,3.0,5.0,5025.0,37.0,999.0
2015-339,Brisbane,Hard,28,A,20150104,21,103819,1.0,,Roger Federer,R,185.0,SUI,33.4099931554,105902,,WC,James Duckworth,R,183.0,AUS,22.9568788501,6-0 6-1,3,QF,41.0,12.0,2.0,30.0,21.0,19.0,6.0,6.0,0.0,0.0,0.0,1.0,38.0,25.0,8.0,4.0,7.0,2.0,8.0,2.0,9625.0,125.0,430.0
2015-339,Brisbane,Hard,28,A,20150104,22,105777,4.0,,Grigor Dimitrov,R,188.0,BUL,23.6413415469,105373,,,Martin Klizan,L,190.0,SVK,25.4866529774,6-3 6-4,3,QF,73.0,7.0,2.0,57.0,34.0,26.0,12.0,10.0,1.0,3.0,3.0,1.0,53.0,37.0,24.0,5.0,9.0,1.0,5.0,11.0,3645.0,34.0,1094.0
2015-339,Brisbane,Hard,28,A,20150104,23,105683,3.0,,Milos Raonic,R,196.0,CAN,24.0246406571,105032,,,Sam Groth,R,193.0,AUS,27.2142368241,7-6(5) 3-6 7-6(2),3,QF,121.0,15.0,2.0,96.0,65.0,53.0,19.0,16.0,4.0,5.0,22.0,1.0,98.0,74.0,58.0,17.0,17.0,0.0,0.0,8.0,4440.0,85.0,586.0
2015-339,Brisbane,Hard,28,A,20150104,24,105453,2.0,,Kei Nishikori,R,178.0,JPN,25.0184804928,106071,,,Bernard Tomic,R,193.0,AUS,22.2067077344,6-0 6-4,3,QF,59.0,5.0,1.0,38.0,26.0,24.0,8.0,8.0,0.0,0.0,10.0,2.0,68.0,41.0,26.0,10.0,8.0,12.0,16.0,5.0,5025.0,53.0,797.0
2015-339,Brisbane,Hard,28,A,20150104,25,103819,1.0,,Roger Federer,R,185.0,SUI,33.4099931554,105777,4.0,,Grigor Dimitrov,R,188.0,BUL,23.6413415469,6-2 6-2,3,SF,53.0,1.0,1.0,48.0,33.0,27.0,9.0,8.0,4.0,4.0,4.0,1.0,48.0,30.0,19.0,6.0,8.0,3.0,7.0,2.0,9625.0,11.0,3645.0
2015-339,Brisbane,Hard,28,A,20150104,26,105683,3.0,,Milos Raonic,R,196.0,CAN,24.0246406571,105453,2.0,,Kei Nishikori,R,178.0,JPN,25.0184804928,6-7(4) 7-6(4) 7-6(4),3,SF,153.0,34.0,3.0,122.0,84.0,72.0,22.0,18.0,3.0,3.0,6.0,3.0,116.0,82.0,69.0,21.0,18.0,3.0,3.0,8.0,4440.0,5.0,5025.0
2015-339,Brisbane,Hard,28,A,20150104,27,103819,1.0,,Roger Federer,R,185.0,SUI,33.4099931554,105683,3.0,,Milos Raonic,R,196.0,CAN,24.0246406571,6-4 6-7(2) 6-4,3,F,133.0,21.0,0.0,100.0,64.0,51.0,19.0,16.0,5.0,6.0,14.0,4.0,108.0,58.0,44.0,27.0,16.0,4.0,7.0,2.0,9625.0,8.0,4440.0
2015-891,Chennai,Hard,28,A,20150105,1,106432,,,Borna Coric,R,188.0,CRO,18.1409993155,104898,,,Robin Haase,R,190.0,NED,27.7508555784,6-2 6-2,3,R32,66.0,4.0,1.0,48.0,26.0,21.0,12.0,8.0,4.0,5.0,1.0,0.0,46.0,27.0,14.0,5.0,8.0,2.0,7.0,95.0,557.0,80.0,620.0
2015-891,Chennai,Hard,28,A,20150105,2,111200,,WC,Elias Ymer,R,183.0,SWE,18.7378507871,104997,,,Igor Sijsling,R,190.0,NED,27.3839835729,6-4 4-6 6-3,3,R32,106.0,3.0,2.0,80.0,55.0,39.0,15.0,15.0,4.0,7.0,3.0,7.0,98.0,62.0,43.0,13.0,14.0,4.0,8.0,227.0,210.0,81.0,619.0
2015-891,Chennai,Hard,28,A,20150105,3,104180,8.0,,Gilles Muller,L,193.0,LUX,31.6605065024,104273,,,Edouard Roger Vasselin,R,188.0,FRA,31.1047227926,6-7(11) 6-1 7-6(3),3,R32,143.0,29.0,4.0,100.0,65.0,49.0,23.0,15.0,3.0,4.0,4.0,3.0,101.0,69.0,50.0,16.0,16.0,1.0,5.0,46.0,855.0,116.0,470.0
2015-891,Chennai,Hard,28,A,20150105,4,105575,,,Ricardas Berankis,R,175.0,LTU,24.5420944559,104563,,Q,Luca Vanni,R,,ITA,29.5879534565,6-1 2-6 7-5,3,R32,109.0,4.0,3.0,76.0,46.0,33.0,16.0,13.0,3.0,6.0,11.0,1.0,81.0,46.0,30.0,17.0,14.0,2.0,7.0,83.0,605.0,148.0,353.0
2015-891,Chennai,Hard,28,A,20150105,5,106210,,,Jiri Vesely,L,198.0,CZE,21.4893908282,104822,,Q,N Vijay Sundar Prashanth,R,,IND,28.1916495551,6-2 6-1,3,R32,67.0,4.0,1.0,39.0,23.0,20.0,9.0,7.0,0.0,0.0,0.0,0.0,55.0,28.0,12.0,14.0,8.0,5.0,10.0,65.0,741.0,557.0,56.0
