tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2003-1536,Madrid Masters,Hard,48,M,20031013,1,101965,,,Wayne Ferreira,R,185.0,RSA,32.076659822,103344,,,Ivan Ljubicic,R,193.0,CRO,24.5694729637,7-6(7) 7-6(5),3,R64,,,,,,,,,,,,,,,,,,,,28.0,1090.0,42.0,865.0
2003-1536,Madrid Masters,Hard,48,M,20031013,2,102358,,Q,Thomas Enqvist,R,190.0,SWE,29.5852156057,102338,,,Yevgeny Kafelnikov,R,190.0,RUS,29.6481861739,6-3 RET,3,R64,,,,,,,,,,,,,,,,,,,,146.0,258.0,40.0,950.0
2003-1536,Madrid Masters,Hard,48,M,20031013,3,102998,,Q,Jan Michael Gambill,R,190.0,USA,26.3600273785,103786,,,Nikolay Davydenko,R,178.0,RUS,22.3627652293,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,,57.0,660.0,43.0,855.0
2003-1536,Madrid Masters,Hard,48,M,20031013,4,102610,,,Albert Costa,R,180.0,ESP,28.3011635866,103602,,,Fernando Gonzalez,R,183.0,CHI,23.2060232717,6-3 7-6(3),3,R64,,,,,,,,,,,,,,,,,,,,23.0,1170.0,22.0,1190.0
2003-1536,Madrid Masters,Hard,48,M,20031013,5,102374,,WC,Alex Corretja,R,180.0,ESP,29.5058179329,104745,,WC,Rafael Nadal,L,185.0,ESP,17.3607118412,6-2 3-6 6-4,3,R64,,,,,,,,,,,,,,,,,,,,127.0,290.0,49.0,788.0
2003-1536,Madrid Masters,Hard,48,M,20031013,6,103888,,,Mardy Fish,R,188.0,USA,21.8425735797,102450,,,Tim Henman,R,185.0,GBR,29.1006160164,7-6(4) 6-3,3,R64,,,,,,,,,,,,,,,,,,,,25.0,1145.0,30.0,1055.0
2003-1536,Madrid Masters,Hard,48,M,20031013,7,103852,,,Feliciano Lopez,L,188.0,ESP,22.0616016427,103151,,,Mariano Zabaleta,R,183.0,ARG,25.620807666,6-2 3-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,,35.0,1025.0,27.0,1133.0
2003-1536,Madrid Masters,Hard,48,M,20031013,8,103292,,,Gaston Gaudio,R,175.0,ARG,24.8432580424,103813,,,Jarkko Nieminen,L,185.0,FIN,22.2231348392,3-6 7-5 6-2,3,R64,,,,,,,,,,,,,,,,,,,,37.0,1000.0,31.0,1050.0
2003-1536,Madrid Masters,Hard,48,M,20031013,9,103970,,Q,David Ferrer,R,175.0,ESP,21.53045859,104022,,,Mikhail Youzhny,R,183.0,RUS,21.3004791239,1-6 6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,,72.0,480.0,29.0,1060.0
2003-1536,Madrid Masters,Hard,48,M,20031013,10,102434,,,Vincent Spadea,R,183.0,USA,29.234770705,103294,,Q,Christophe Rochus,R,170.0,BEL,24.8268309377,6-4 7-5,3,R64,,,,,,,,,,,,,,,,,,,,33.0,1040.0,87.0,421.0
2003-1536,Madrid Masters,Hard,48,M,20031013,11,102035,,,Jonas Bjorkman,R,183.0,SWE,31.5564681725,103498,,,Marat Safin,R,193.0,RUS,23.7097878166,4-6 7-5 6-4,3,R64,,,,,,,,,,,,,,,,,,,,41.0,873.0,38.0,985.0
2003-1536,Madrid Masters,Hard,48,M,20031013,12,104068,,,Robby Ginepri,R,183.0,USA,21.015742642,103694,,Q,Olivier Rochus,R,168.0,BEL,22.7323750856,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,,34.0,1040.0,51.0,746.0
2003-1536,Madrid Masters,Hard,48,M,20031013,13,102344,,,Karol Kucera,R,188.0,SVK,29.6098562628,103096,,,Arnaud Clement,R,173.0,FRA,25.8206707734,7-6(3) 4-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,,36.0,1008.0,26.0,1135.0
2003-1536,Madrid Masters,Hard,48,M,20031013,14,103428,,,Juan Ignacio Chela,R,190.0,ARG,24.1204654346,103252,,Q,Alberto Martin,R,175.0,ESP,25.1471594798,6-4 1-6 6-1,3,R64,,,,,,,,,,,,,,,,,,,,44.0,845.0,58.0,659.0
2003-1536,Madrid Masters,Hard,48,M,20031013,15,103454,,,Nicolas Massu,R,183.0,CHI,24.0082135524,104269,,WC,Fernando Verdasco,L,188.0,ESP,19.909650924,7-6(2) 6-4,3,R64,,,,,,,,,,,,,,,,,,,,21.0,1192.0,102.0,383.0
2003-1536,Madrid Masters,Hard,48,M,20031013,16,103018,,,Max Mirnyi,R,196.0,BLR,26.2696783025,103484,,,James Blake,R,185.0,USA,23.7919233402,7-5 6-2,3,R64,,,,,,,,,,,,,,,,,,,,24.0,1160.0,39.0,975.0
2003-1536,Madrid Masters,Hard,48,M,20031013,17,103507,1.0,,Juan Carlos Ferrero,R,183.0,ESP,23.665982204,101965,,,Wayne Ferreira,R,185.0,RSA,32.076659822,6-3 2-6 7-6(4),3,R32,,,,,,,,,,,,,,,,,,,,1.0,4195.0,28.0,1090.0
2003-1536,Madrid Masters,Hard,48,M,20031013,18,102456,16.0,,Felix Mantilla,R,180.0,ESP,29.054072553,102358,,Q,Thomas Enqvist,R,190.0,SWE,29.5852156057,6-2 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,,19.0,1240.0,146.0,258.0
2003-1536,Madrid Masters,Hard,48,M,20031013,19,102998,,Q,Jan Michael Gambill,R,190.0,USA,26.3600273785,102854,10.0,,Sjeng Schalken,R,193.0,NED,27.0937713895,7-6(6) 6-2,3,R32,,,,,,,,,,,,,,,,,,,,57.0,660.0,14.0,1515.0
2003-1536,Madrid Masters,Hard,48,M,20031013,20,103387,7.0,,Paradorn Srichaphan,R,185.0,THA,24.3312799452,102610,,,Albert Costa,R,180.0,ESP,28.3011635866,6-3 6-7(5) 6-1,3,R32,,,,,,,,,,,,,,,,,,,,11.0,1845.0,23.0,1170.0
2003-1536,Madrid Masters,Hard,48,M,20031013,21,103819,3.0,,Roger Federer,R,185.0,SUI,22.1793292266,102374,,WC,Alex Corretja,R,180.0,ESP,29.5058179329,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,3.0,3825.0,127.0,290.0
2003-1536,Madrid Masters,Hard,48,M,20031013,22,103888,,,Mardy Fish,R,188.0,USA,21.8425735797,103990,14.0,,Tommy Robredo,R,180.0,ESP,21.4510609172,7-6(14) 6-2,3,R32,,,,,,,,,,,,,,,,,,,,25.0,1145.0,17.0,1300.0
2003-1536,Madrid Masters,Hard,48,M,20031013,23,103852,,,Feliciano Lopez,L,188.0,ESP,22.0616016427,102882,9.0,,Mark Philippoussis,R,196.0,AUS,26.9295003422,6-4 3-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,,35.0,1025.0,13.0,1615.0
2003-1536,Madrid Masters,Hard,48,M,20031013,24,102845,5.0,,Carlos Moya,R,190.0,ESP,27.1266255989,103292,,,Gaston Gaudio,R,175.0,ARG,24.8432580424,3-6 7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,,7.0,2705.0,37.0,1000.0
2003-1536,Madrid Masters,Hard,48,M,20031013,25,103206,6.0,,Sebastien Grosjean,R,175.0,FRA,25.3744010951,103970,,Q,David Ferrer,R,175.0,ESP,21.53045859,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,10.0,1970.0,72.0,480.0
