tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2007-1536,Madrid Masters,Hard,48,M,20071015,1,104068,,Q,Robby Ginepri,R,183.0,USA,25.0212183436,103781,,,Jurgen Melzer,L,183.0,AUT,26.3983572895,2-6 7-6(2) 6-4,3,R64,117.0,4.0,3.0,99.0,64.0,40.0,23.0,15.0,4.0,7.0,4.0,2.0,89.0,61.0,43.0,16.0,15.0,4.0,6.0,72.0,535.0,56.0,625.0
2007-1536,Madrid Masters,Hard,48,M,20071015,2,102860,,Q,Agustin Calleri,R,183.0,ARG,31.0828199863,104098,,,Dmitry Tursunov,R,185.0,RUS,24.8405201916,3-6 7-6(4) 6-4,3,R64,108.0,9.0,2.0,83.0,44.0,35.0,28.0,15.0,0.0,1.0,6.0,2.0,91.0,53.0,43.0,23.0,16.0,0.0,1.0,50.0,660.0,28.0,950.0
2007-1536,Madrid Masters,Hard,48,M,20071015,3,102905,,Q,Stefan Koubek,L,175.0,AUT,30.7816563997,103813,,,Jarkko Nieminen,L,185.0,FIN,26.2286105407,6-3 3-6 6-4,3,R64,98.0,5.0,3.0,78.0,42.0,32.0,18.0,14.0,3.0,7.0,3.0,4.0,94.0,63.0,37.0,16.0,14.0,8.0,13.0,68.0,565.0,29.0,935.0
2007-1536,Madrid Masters,Hard,48,M,20071015,4,103852,,WC,Feliciano Lopez,L,188.0,ESP,26.0670773443,103835,,,Filippo Volandri,R,183.0,ITA,26.1081451061,6-3 6-2,3,R64,79.0,5.0,2.0,57.0,37.0,30.0,7.0,9.0,3.0,4.0,0.0,3.0,42.0,18.0,12.0,10.0,8.0,1.0,5.0,42.0,741.0,43.0,731.0
2007-1536,Madrid Masters,Hard,48,M,20071015,5,103333,,,Ivo Karlovic,R,208.0,CRO,28.6269678303,103498,,,Marat Safin,R,193.0,RUS,27.7152635181,6-3 6-4,3,R64,58.0,17.0,2.0,53.0,38.0,34.0,7.0,10.0,2.0,2.0,3.0,2.0,47.0,26.0,21.0,12.0,9.0,2.0,4.0,24.0,1258.0,36.0,855.0
2007-1536,Madrid Masters,Hard,48,M,20071015,6,103017,,,Nicolas Kiefer,R,183.0,GER,30.2778918549,104527,,,Stan Wawrinka,R,183.0,SUI,22.5489390828,7-5 6-3,3,R64,98.0,3.0,2.0,68.0,40.0,28.0,19.0,11.0,4.0,5.0,1.0,1.0,67.0,45.0,25.0,13.0,10.0,2.0,5.0,112.0,370.0,35.0,860.0
2007-1536,Madrid Masters,Hard,48,M,20071015,7,104338,,,Juan Monaco,R,185.0,ARG,23.5455167693,104214,,,Igor Andreev,R,185.0,RUS,24.2546201232,6-7(5) 6-0 6-4,3,R64,240.0,3.0,1.0,104.0,77.0,53.0,16.0,14.0,10.0,11.0,5.0,3.0,100.0,70.0,44.0,13.0,14.0,6.0,11.0,20.0,1350.0,33.0,895.0
2007-1536,Madrid Masters,Hard,48,M,20071015,8,104597,,,Nicolas Almagro,R,183.0,ESP,22.1492128679,102148,,,Fabrice Santoro,R,178.0,FRA,34.8473648186,6-4 6-4,3,R64,79.0,7.0,1.0,56.0,38.0,29.0,11.0,10.0,1.0,2.0,4.0,2.0,59.0,30.0,19.0,16.0,10.0,3.0,6.0,26.0,1015.0,46.0,719.0
2007-1536,Madrid Masters,Hard,48,M,20071015,9,104339,,,Mario Ancic,R,196.0,CRO,23.5427789185,102967,,Q,Marc Gicquel,R,188.0,FRA,30.5434633812,6-4 6-2,3,R64,71.0,11.0,0.0,43.0,27.0,26.0,10.0,9.0,0.0,0.0,6.0,3.0,47.0,25.0,19.0,10.0,9.0,3.0,6.0,49.0,675.0,77.0,520.0
2007-1536,Madrid Masters,Hard,48,M,20071015,10,103908,,,Paul Henri Mathieu,R,185.0,FRA,25.7549623546,103888,,,Mardy Fish,R,188.0,USA,25.8480492813,6-3 2-6 7-5,3,R64,130.0,12.0,4.0,85.0,49.0,38.0,18.0,14.0,2.0,4.0,19.0,2.0,95.0,52.0,42.0,15.0,15.0,5.0,8.0,21.0,1335.0,38.0,775.0
2007-1536,Madrid Masters,Hard,48,M,20071015,11,103507,,,Juan Carlos Ferrero,R,183.0,ESP,27.6714579055,104268,,Q,Alejandro Falla,L,185.0,COL,23.9178644764,6-4 7-5,3,R64,96.0,2.0,2.0,75.0,43.0,26.0,19.0,11.0,4.0,6.0,2.0,2.0,61.0,39.0,26.0,10.0,11.0,2.0,6.0,23.0,1285.0,128.0,335.0
2007-1536,Madrid Masters,Hard,48,M,20071015,12,104269,,,Fernando Verdasco,L,188.0,ESP,23.9151266256,103656,,WC,Albert Montanes,R,175.0,ESP,26.8829568789,6-1 6-1,3,R64,56.0,3.0,1.0,45.0,32.0,24.0,8.0,7.0,3.0,3.0,1.0,6.0,55.0,27.0,14.0,12.0,7.0,7.0,12.0,32.0,905.0,47.0,700.0
2007-1536,Madrid Masters,Hard,48,M,20071015,13,105223,,WC,Juan Martin del Potro,R,198.0,ARG,19.0581793292,103808,,,Potito Starace,R,188.0,ITA,26.2532511978,7-5 6-1,3,R64,78.0,10.0,1.0,51.0,35.0,27.0,12.0,10.0,1.0,2.0,1.0,2.0,58.0,31.0,14.0,16.0,9.0,3.0,7.0,53.0,634.0,27.0,951.0
2007-1536,Madrid Masters,Hard,48,M,20071015,14,103900,,,David Nalbandian,R,180.0,ARG,25.7850787132,103096,,,Arnaud Clement,R,173.0,FRA,29.826146475,5-7 6-2 6-4,3,R64,137.0,14.0,4.0,96.0,51.0,35.0,24.0,15.0,6.0,9.0,6.0,4.0,83.0,35.0,25.0,22.0,15.0,2.0,7.0,25.0,1160.0,40.0,745.0
2007-1536,Madrid Masters,Hard,48,M,20071015,15,104918,,,Andy Murray,R,190.0,GBR,20.4188911704,103285,,,Radek Stepanek,R,185.0,CZE,28.8815879535,6-4 6-1,3,R64,63.0,6.0,1.0,44.0,24.0,22.0,14.0,9.0,0.0,0.0,2.0,2.0,58.0,39.0,22.0,11.0,8.0,11.0,14.0,17.0,1480.0,30.0,925.0
2007-1536,Madrid Masters,Hard,48,M,20071015,16,104571,,,Marcos Baghdatis,R,183.0,CYP,22.3271731691,102318,,Q,Andrei Pavel,R,183.0,ROU,33.7138945927,6-3 4-6 6-1,3,R64,120.0,5.0,1.0,81.0,48.0,36.0,16.0,13.0,1.0,3.0,11.0,5.0,86.0,52.0,39.0,10.0,13.0,6.0,11.0,22.0,1295.0,82.0,502.0
2007-1536,Madrid Masters,Hard,48,M,20071015,17,103819,1.0,,Roger Federer,R,185.0,SUI,26.1848049281,104068,,Q,Robby Ginepri,R,183.0,USA,25.0212183436,7-6(2) 6-4,3,R32,86.0,11.0,1.0,70.0,44.0,35.0,18.0,11.0,3.0,3.0,1.0,1.0,73.0,42.0,30.0,18.0,11.0,3.0,4.0,1.0,7355.0,72.0,535.0
2007-1536,Madrid Masters,Hard,48,M,20071015,18,103084,13.0,,Guillermo Canas,R,185.0,ARG,29.8863791923,102860,,Q,Agustin Calleri,R,183.0,ARG,31.0828199863,6-3 3-6 7-5,3,R32,143.0,9.0,2.0,88.0,55.0,38.0,19.0,15.0,5.0,8.0,14.0,6.0,104.0,60.0,47.0,16.0,15.0,8.0,12.0,14.0,1673.0,50.0,660.0
2007-1536,Madrid Masters,Hard,48,M,20071015,19,102905,,Q,Stefan Koubek,L,175.0,AUT,30.7816563997,103344,12.0,,Ivan Ljubicic,R,193.0,CRO,28.5749486653,6-3 6-7(2) 7-5,3,R32,136.0,8.0,3.0,103.0,64.0,47.0,26.0,17.0,3.0,3.0,23.0,3.0,90.0,58.0,49.0,15.0,16.0,1.0,3.0,68.0,565.0,13.0,1675.0
2007-1536,Madrid Masters,Hard,48,M,20071015,20,103852,,WC,Feliciano Lopez,L,188.0,ESP,26.0670773443,103970,7.0,,David Ferrer,R,175.0,ESP,25.5359342916,7-6(3) 7-5,3,R32,108.0,9.0,3.0,84.0,41.0,30.0,27.0,12.0,3.0,4.0,3.0,2.0,78.0,43.0,31.0,19.0,12.0,0.0,2.0,42.0,741.0,7.0,2130.0
2007-1536,Madrid Masters,Hard,48,M,20071015,21,103333,,,Ivo Karlovic,R,208.0,CRO,28.6269678303,103169,,LL,Oscar Hernandez,R,180.0,ESP,29.5140314853,7-5 6-2,3,R32,73.0,20.0,2.0,50.0,36.0,32.0,9.0,10.0,0.0,0.0,0.0,2.0,59.0,36.0,22.0,13.0,10.0,6.0,9.0,24.0,1258.0,52.0,636.0
2007-1536,Madrid Masters,Hard,48,M,20071015,22,103017,,,Nicolas Kiefer,R,183.0,GER,30.2778918549,104022,16.0,,Mikhail Youzhny,R,183.0,RUS,25.3059548255,6-1 6-3,3,R32,66.0,6.0,1.0,44.0,28.0,26.0,7.0,8.0,1.0,1.0,2.0,1.0,49.0,30.0,15.0,9.0,8.0,2.0,6.0,112.0,370.0,18.0,1465.0
2007-1536,Madrid Masters,Hard,48,M,20071015,23,104338,,,Juan Monaco,R,185.0,ARG,23.5455167693,103163,11.0,,Tommy Haas,R,188.0,GER,29.5331964408,6-4 7-5,3,R32,85.0,4.0,3.0,63.0,40.0,30.0,15.0,11.0,3.0,4.0,5.0,3.0,74.0,48.0,33.0,11.0,11.0,5.0,8.0,20.0,1350.0,10.0,1940.0
2007-1536,Madrid Masters,Hard,48,M,20071015,24,103602,5.0,,Fernando Gonzalez,R,183.0,CHI,27.2114989733,104597,,,Nicolas Almagro,R,183.0,ESP,22.1492128679,7-6(11) 7-5,3,R32,97.0,7.0,1.0,75.0,52.0,42.0,14.0,12.0,1.0,2.0,11.0,1.0,86.0,60.0,42.0,14.0,12.0,5.0,7.0,6.0,2245.0,26.0,1015.0
2007-1536,Madrid Masters,Hard,48,M,20071015,25,104339,,,Mario Ancic,R,196.0,CRO,23.5427789185,103484,6.0,,James Blake,R,185.0,USA,27.7973990418,6-3 6-4,3,R32,69.0,7.0,3.0,57.0,36.0,32.0,10.0,10.0,1.0,1.0,5.0,4.0,54.0,31.0,26.0,9.0,9.0,2.0,4.0,49.0,675.0,8.0,2110.0
2007-1536,Madrid Masters,Hard,48,M,20071015,26,103908,,,Paul Henri Mathieu,R,185.0,FRA,25.7549623546,104755,10.0,,Richard Gasquet,R,185.0,FRA,21.325119781,7-6(8) 7-5,3,R32,133.0,4.0,2.0,91.0,44.0,28.0,31.0,12.0,7.0,8.0,7.0,0.0,80.0,43.0,32.0,21.0,12.0,1.0,3.0,21.0,1335.0,12.0,1885.0
2007-1536,Madrid Masters,Hard,48,M,20071015,27,103507,,,Juan Carlos Ferrero,R,183.0,ESP,27.6714579055,102845,14.0,,Carlos Moya,R,190.0,ESP,31.1321013005,7-6(2) 6-4,3,R32,104.0,6.0,0.0,65.0,45.0,36.0,12.0,11.0,3.0,5.0,8.0,5.0,86.0,49.0,31.0,17.0,11.0,12.0,15.0,23.0,1285.0,15.0,1620.0
2007-1536,Madrid Masters,Hard,48,M,20071015,28,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.3997262149,104269,,,Fernando Verdasco,L,188.0,ESP,23.9151266256,6-7(7) 6-3 6-3,3,R32,154.0,6.0,4.0,112.0,61.0,47.0,28.0,15.0,10.0,10.0,2.0,4.0,90.0,67.0,49.0,9.0,15.0,2.0,5.0,3.0,4370.0,32.0,905.0
2007-1536,Madrid Masters,Hard,48,M,20071015,29,105223,,WC,Juan Martin del Potro,R,198.0,ARG,19.0581793292,103990,8.0,,Tommy Robredo,R,180.0,ESP,25.4565366188,6-7(4) 6-4 6-3,3,R32,152.0,7.0,2.0,91.0,55.0,42.0,23.0,15.0,1.0,2.0,10.0,0.0,109.0,70.0,49.0,20.0,16.0,5.0,9.0,53.0,634.0,9.0,2035.0
2007-1536,Madrid Masters,Hard,48,M,20071015,30,103900,,,David Nalbandian,R,180.0,ARG,25.7850787132,104607,9.0,,Tomas Berdych,R,196.0,CZE,22.0752908966,4-6 6-4 7-6(2),3,R32,130.0,9.0,2.0,100.0,59.0,46.0,20.0,16.0,4.0,8.0,12.0,2.0,92.0,51.0,39.0,18.0,16.0,0.0,4.0,25.0,1160.0,11.0,1935.0
