,precision,recall,f1-score,support
Carpet,0.4127659574468085,0.6830985915492958,0.5145888594164456,142.0
Clay,0.5161290322580645,0.43537414965986393,0.4723247232472324,147.0
Grass,0.48936170212765956,0.359375,0.41441441441441446,128.0
Hard,0.34579439252336447,0.25874125874125875,0.29600000000000004,143.0
accuracy,0.4357142857142857,0.4357142857142857,0.4357142857142857,0.4357142857142857
macro avg,0.44101277108897424,0.4341472499876046,0.42433199926952314,560.0
weighted avg,0.4403046958974354,0.4357142857142857,0.42477928107057766,560.0
